Year,LandslideID,Zone,TreeID,Species_Jp,DBH_cm,H_m,BA,BEF,R,D1,TimVol,AGBiomass_mg
1981,28,Deposition,C811,Sawashiba,4.1,6,13.20254313,1.26,0.26,0.624,0.00448398,0.003525484
1981,28,Deposition,C812,Sawashiba,9.6,7,72.38229474,1.26,0.26,0.624,0.029729107,0.023374213
1981,28,Deposition,C813,Sawashiba,6.2,6,30.1907054,1.26,0.26,0.624,0.011246145,0.008842169
1981,28,Deposition,C814,Sawashiba,2.6,3.5,5.309291585,1.26,0.26,0.624,0.00162874,0.00128058
1981,28,Deposition,C815,Yamamomiji,3,4,7.068583471,1.18,0.26,0.519,0.002238883,0.001371137
1981,28,Deposition,C816,Ezoitaya,20.5,13.3,330.0635782,1.18,0.26,0.519,0.244681658,0.149847941
1981,28,Deposition,C817,Ezoitaya,2.7,6,5.725552611,1.18,0.26,0.519,0.001815624,0.001111924
1981,28,Deposition,C818,Gamazumi,2.1,2.5,3.463605901,1.26,0.26,0.624,0.00101303,0.000796485
1981,28,Deposition,C819,Gamazumi,1.9,2,2.83528737,1.26,0.26,0.624,0.000810925,0.000637582
1981,28,Deposition,C820,Noriutsugi,4.1,3.5,13.20254313,1.26,0.26,0.624,0.00448398,0.003525484
1981,28,Deposition,C821,Keyama hannoki,13.7,14.5,147.4113813,1.25,0.26,0.454,0.092302482,0.052381659
1981,28,Deposition,C822,Tsuribana,3,4,7.068583471,1.26,0.26,0.624,0.002238883,0.001760299
1981,28,Deposition,C823,Hakunboku,7.8,9.1,47.78362426,1.26,0.26,0.624,0.01873627,0.014731205
1981,28,Deposition,C824,Hakunboku,8.8,13,60.82123377,1.26,0.26,0.624,0.024499813,0.019262733
1981,28,Deposition,C825,Hakunboku,1.7,3,2.269800692,1.26,0.26,0.624,0.000633257,0.000497892
1981,28,Deposition,C826,Akashide,3.6,3.5,10.1787602,1.26,0.26,0.624,0.003358018,0.002640208
1947,16,Initiation,B669,Ezo Yamazakura,4,3.4,12.56637061,1.26,0.26,0.624,0.004698107,0.00369384
